workload,system,cohort_path,run_id,seed,mode,N,tenant_id,t_start,t_end,concurrent_runtime,internal_runtime,figure_of_merit,fom_name,fixed_work_units,cpu_s,max_rss_kib,exit_status,correctness_status,sospechoso,derivacion
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,03,sync,8,7,1785285768.2140646,1785285870.6921477,102.478083,12.73,47131605.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,03,sync,8,1,1785285768.2130916,1785285870.1955626,101.982471,61.982,9680212.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,03,sync,8,6,1785285768.2138526,1785285870.0412958,101.827443,62.327,9626636.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,04,sync,8,3,1785285900.2100713,1785286003.1554782,102.945407,36.934,16245360.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,04,sync,8,5,1785285900.210876,1785286002.512803,102.301927,62.77,9558732.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,04,sync,8,2,1785285900.2109954,1785286003.1535943,102.942599,36.946,16239774.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,04,sync,8,4,1785285900.211251,1785286003.126971,102.91572,49.531,12113676.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,04,sync,8,0,1785285900.2096987,1785286003.155293,102.945594,36.934,16245389.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,04,sync,8,7,1785285900.2109604,1785286002.5122135,102.301253,75.0,7999997.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
xsbench,rdma_zc,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,04,sync,8,1,1785285900.21134,1785286002.591921,102.380581,74.424,8061880.0,lookups_per_s,missing,missing,missing,1,missing,,internal_runtime = linea 'Runtime' de stdout.log (excluye setup)
