system,N,seed,cohort,tenant_id,runtime_s,wall_s,lookups_per_s,normalized_progress,slowdown
rdma,8,04,xsbench_campaign/results/xsbench/rdma/N8/sync/seed04,6,12.296,104.166227,48795895.0,0.9753,1.0254
rdma,8,04,xsbench_campaign/results/xsbench/rdma/N8/sync/seed04,7,12.665,77.925442,47372982.0,0.9469,1.0561
rdma_zc,2,00,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed00,0,24.493,26.596671,24496680.0,0.4856,2.0591
rdma_zc,2,00,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed00,1,12.293,26.599587,48809095.0,0.9676,1.0335
rdma_zc,2,01,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed01,0,24.471,26.485354,24518785.0,0.4861,2.0573
rdma_zc,2,01,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed01,1,12.29,26.489139,48818221.0,0.9679,1.0332
rdma_zc,2,02,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed02,0,12.284,26.720529,48842800.0,0.9683,1.0327
rdma_zc,2,02,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed02,1,24.464,26.717005,24525391.0,0.4862,2.0567
rdma_zc,2,03,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed03,0,12.263,26.576776,48927564.0,0.97,1.0309
rdma_zc,2,03,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed03,1,24.45,26.572603,24540376.0,0.4865,2.0555
rdma_zc,2,04,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed04,0,12.281,26.501294,48854496.0,0.9686,1.0325
rdma_zc,2,04,xsbench_campaign/results/xsbench/rdma_zc/N2/sync/seed04,1,24.446,26.505582,24543620.0,0.4866,2.0551
rdma_zc,4,00,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,0,49.109,51.494653,12217697.0,0.2422,4.1285
rdma_zc,4,00,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,1,12.439,51.955898,48235163.0,0.9563,1.0457
rdma_zc,4,00,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,2,49.11,51.487592,12217477.0,0.2422,4.1286
rdma_zc,4,00,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed00,3,24.73,51.537507,24262499.0,0.481,2.079
rdma_zc,4,01,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed01,0,37.13,51.951882,16159415.0,0.3204,3.1215
rdma_zc,4,01,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed01,1,24.775,52.222412,24218351.0,0.4801,2.0828
rdma_zc,4,01,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed01,2,12.489,52.372814,48041354.0,0.9524,1.0499
rdma_zc,4,01,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed01,3,37.027,51.898908,16204517.0,0.3213,3.1128
rdma_zc,4,02,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed02,0,24.879,52.071221,24117059.0,0.4781,2.0916
rdma_zc,4,02,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed02,1,37.427,51.984195,16031124.0,0.3178,3.1464
rdma_zc,4,02,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed02,2,12.401,52.187001,48382618.0,0.9592,1.0425
rdma_zc,4,02,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed02,3,25.224,51.984436,23787278.0,0.4716,2.1206
rdma_zc,4,03,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed03,0,12.518,52.387621,47932564.0,0.9502,1.0524
rdma_zc,4,03,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed03,1,37.143,51.915106,16153628.0,0.3202,3.1226
rdma_zc,4,03,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed03,2,24.84,52.126215,24154915.0,0.4789,2.0883
rdma_zc,4,03,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed03,3,24.833,52.024072,24161471.0,0.479,2.0877
rdma_zc,4,04,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed04,0,12.637,52.25716,47481119.0,0.9413,1.0624
rdma_zc,4,04,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed04,1,37.046,51.781774,16195954.0,0.3211,3.1144
rdma_zc,4,04,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed04,2,24.771,51.834857,24222110.0,0.4802,2.0825
rdma_zc,4,04,xsbench_campaign/results/xsbench/rdma_zc/N4/sync/seed04,3,37.044,52.049372,16196991.0,0.3211,3.1142
rdma_zc,8,00,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed00,0,25.005,90.128216,23995520.0,0.4757,2.1021
rdma_zc,8,00,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed00,1,62.209,102.923552,9644915.0,0.1912,5.2298
rdma_zc,8,00,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed00,2,62.345,90.129944,9623808.0,0.1908,5.2413
rdma_zc,8,00,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed00,3,37.636,103.279042,15942327.0,0.3161,3.164
rdma_zc,8,00,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed00,4,62.58,103.074244,9587794.0,0.1901,5.261
rdma_zc,8,00,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed00,5,38.048,90.128732,15769479.0,0.3126,3.1987
rdma_zc,8,00,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed00,6,37.571,102.878168,15969633.0,0.3166,3.1586
rdma_zc,8,00,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed00,7,12.909,103.482083,46480291.0,0.9215,1.0852
rdma_zc,8,01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,0,12.968,104.006376,46269037.0,0.9173,1.0902
rdma_zc,8,01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,1,62.22,103.401363,9643197.0,0.1912,5.2308
rdma_zc,8,01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,2,51.071,103.189926,11748288.0,0.2329,4.2935
rdma_zc,8,01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,3,25.851,90.593105,23210251.0,0.4601,2.1733
rdma_zc,8,01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,4,37.654,90.593929,15934576.0,0.3159,3.1655
rdma_zc,8,01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,5,62.459,103.499397,9606260.0,0.1904,5.2509
rdma_zc,8,01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,6,25.204,103.710821,23806053.0,0.4719,2.1189
rdma_zc,8,01,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed01,7,37.568,103.596787,15970837.0,0.3166,3.1583
rdma_zc,8,02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,0,24.653,103.306704,24338241.0,0.4825,2.0726
rdma_zc,8,02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,1,49.38,103.305646,12150631.0,0.2409,4.1513
rdma_zc,8,02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,2,62.992,102.674386,9525013.0,0.1888,5.2957
rdma_zc,8,02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,3,61.889,103.134816,9694742.0,0.1922,5.2029
rdma_zc,8,02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,4,49.38,103.237204,12150631.0,0.2409,4.1513
rdma_zc,8,02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,5,50.43,102.652268,11897594.0,0.2359,4.2396
rdma_zc,8,02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,6,12.779,103.743769,46952849.0,0.9308,1.0743
rdma_zc,8,02,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed02,7,87.465,102.674903,6859924.0,0.136,7.3531
rdma_zc,8,03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,0,49.452,102.45156,12132970.0,0.2405,4.1574
rdma_zc,8,03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,1,61.982,101.982471,9680212.0,0.1919,5.2108
rdma_zc,8,03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,2,24.698,102.476675,24293192.0,0.4816,2.0763
rdma_zc,8,03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,3,49.884,101.825649,12027880.0,0.2385,4.1937
rdma_zc,8,03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,4,62.016,101.981766,9674854.0,0.1918,5.2136
rdma_zc,8,03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,5,49.572,102.477661,12103629.0,0.24,4.1675
rdma_zc,8,03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,6,62.327,101.827443,9626636.0,0.1908,5.2398
rdma_zc,8,03,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed03,7,12.73,102.478083,47131605.0,0.9344,1.0702
rdma_zc,8,04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,0,36.934,102.945594,16245389.0,0.3221,3.105
rdma_zc,8,04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,1,74.424,102.380581,8061880.0,0.1598,6.2567
rdma_zc,8,04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,2,36.946,102.942599,16239774.0,0.322,3.106
rdma_zc,8,04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,3,36.934,102.945407,16245360.0,0.3221,3.105
rdma_zc,8,04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,4,49.531,102.91572,12113676.0,0.2402,4.164
rdma_zc,8,04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,5,62.77,102.301927,9558732.0,0.1895,5.277
rdma_zc,8,04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,6,61.989,102.305224,9679202.0,0.1919,5.2113
rdma_zc,8,04,xsbench_campaign/results/xsbench/rdma_zc/N8/sync/seed04,7,75.0,102.301253,7999997.0,0.1586,6.3052
tcp,2,00,xsbench_campaign/results/xsbench/tcp/N2/sync/seed00,0,12.448,26.51447,48202090.0,0.9814,1.019
tcp,2,00,xsbench_campaign/results/xsbench/tcp/N2/sync/seed00,1,24.858,26.502248,24137457.0,0.4914,2.0349
tcp,2,01,xsbench_campaign/results/xsbench/tcp/N2/sync/seed01,0,51.386,52.381644,24325612.0,0.2377,4.2065
tcp,2,01,xsbench_campaign/results/xsbench/tcp/N2/sync/seed01,1,51.385,52.393659,24326361.0,0.2377,4.2064
tcp,2,02,xsbench_campaign/results/xsbench/tcp/N2/sync/seed02,0,51.177,52.151971,24424848.0,0.2387,4.1893
tcp,2,02,xsbench_campaign/results/xsbench/tcp/N2/sync/seed02,1,25.625,52.166323,48779640.0,0.4767,2.0977
tcp,2,10,xsbench_campaign/results/xsbench/tcp/N2/sync/seed10,0,12.238,27.157592,49026336.0,0.9982,1.0018
tcp,2,10,xsbench_campaign/results/xsbench/tcp/N2/sync/seed10,1,12.289,27.194367,48822768.0,0.9941,1.006
tcp,2,11,xsbench_campaign/results/xsbench/tcp/N2/sync/seed11,0,24.687,26.909219,24304451.0,0.4948,2.0209
