workload,system,N,lambda_total,label,rep,stable,tenant,requests,completed,timeouts,failed,completion_fraction,offered_output_tokens,completed_output_tokens,delivered_output_tokens,token_service_fraction,slo_1s_fraction,slo_5s_fraction,timeout_fraction,ttft_p50,ttft_p95,ttft_p99,tpot_p50,offered_share,service_share,share_normalizada
llama7b,nativo,8,1.0,mtbm_n8_l1.0,1,STABLE,http://127.0.0.1:8307,8,8,0,0,1.0,1024,1024,1024,1.0,0.75,0.875,0.0,41.125661227852106,5618.098785169423,5618.098785169423,17.921446430254875,0.26666666666666666,0.26666666666666666,1.0
llama7b,nativo,8,1.0,mtbm_n8_l1.0,1,STABLE,http://127.0.0.1:8308,2,2,0,0,1.0,256,256,256,1.0,1.0,1.0,0.0,40.73278605937958,40.73278605937958,40.73278605937958,22.192459432481545,0.06666666666666667,0.06666666666666667,1.0
llama7b,gusto,1,1.0,mt_ucx_n1_l1.0,1,STABLE,http://127.0.0.1:8201,30,30,0,0,1.0,3840,3840,3840,1.0,0.6333333333333333,1.0,0.0,779.9030877649784,2454.6084869652987,2564.660729840398,7.250141517413179,1.0,1.0,1.0
llama7b,nativo,1,1.0,mtbm_n1_l1.0,1,STABLE,http://127.0.0.1:8301,30,30,0,0,1.0,3840,3840,3840,1.0,0.6666666666666666,1.0,0.0,672.8946631774306,1944.3097217008471,2068.567965179682,6.996379897555732,1.0,1.0,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,1,STABLE,http://127.0.0.1:8201,5,5,0,0,1.0,640,640,640,1.0,1.0,1.0,0.0,453.7852667272091,960.3383364155889,960.3383364155889,8.24743315694839,0.16666666666666666,0.16666666666666666,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,1,STABLE,http://127.0.0.1:8202,3,3,0,0,1.0,384,384,384,1.0,1.0,1.0,0.0,75.77427476644516,505.06907189264894,505.06907189264894,13.118589062273033,0.1,0.1,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,1,STABLE,http://127.0.0.1:8203,2,2,0,0,1.0,256,256,256,1.0,1.0,1.0,0.0,459.65947303920984,459.65947303920984,459.65947303920984,15.036230085520295,0.06666666666666667,0.06666666666666667,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,1,STABLE,http://127.0.0.1:8204,4,4,0,0,1.0,512,512,512,1.0,1.0,1.0,0.0,191.0469583235681,194.59888990968466,194.59888990968466,10.907760450953809,0.13333333333333333,0.13333333333333333,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,1,STABLE,http://127.0.0.1:8205,3,3,0,0,1.0,384,384,384,1.0,1.0,1.0,0.0,186.44027598202229,566.6065248660743,566.6065248660743,15.312158062643423,0.1,0.1,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,1,STABLE,http://127.0.0.1:8206,3,3,0,0,1.0,384,384,384,1.0,1.0,1.0,0.0,399.26664205268025,461.87796304002404,461.87796304002404,14.103656249692825,0.1,0.1,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,1,STABLE,http://127.0.0.1:8207,8,8,0,0,1.0,1024,1024,1024,1.0,1.0,1.0,0.0,31.597839202731848,522.5175563246012,522.5175563246012,7.6456679595913,0.26666666666666666,0.26666666666666666,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,1,STABLE,http://127.0.0.1:8208,2,2,0,0,1.0,256,256,256,1.0,1.0,1.0,0.0,186.81085808202624,186.81085808202624,186.81085808202624,10.959269574249355,0.06666666666666667,0.06666666666666667,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,2,STABLE,http://127.0.0.1:8201,5,5,0,0,1.0,640,640,640,1.0,1.0,1.0,0.0,452.70450599491596,964.3114879727364,964.3114879727364,8.369349441894396,0.16666666666666666,0.16666666666666666,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,2,STABLE,http://127.0.0.1:8202,3,3,0,0,1.0,384,384,384,1.0,1.0,1.0,0.0,76.17644220590591,517.7569705992937,517.7569705992937,13.084832993226023,0.1,0.1,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,2,STABLE,http://127.0.0.1:8203,2,2,0,0,1.0,256,256,256,1.0,1.0,1.0,0.0,316.9798753224313,316.9798753224313,316.9798753224313,15.869457857668634,0.06666666666666667,0.06666666666666667,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,2,STABLE,http://127.0.0.1:8204,4,4,0,0,1.0,512,512,512,1.0,1.0,1.0,0.0,196.6485227458179,197.0176720060408,197.0176720060408,10.909382693880186,0.13333333333333333,0.13333333333333333,1.0
llama7b,gusto_gpudirect,8,1.0,mt_ucx_gpudirect_n8_l1.0,2,STABLE,http://127.0.0.1:8205,3,3,0,0,1.0,384,384,384,1.0,1.0,1.0,0.0,193.6479709111154,447.1727358177304,447.1727358177304,15.317744824771337,0.1,0.1,1.0
