label,mode,n_servers,conc_per,rate,window,npred,completed,offered,fail,timeout,goodput,reqps,eff_batch,deferred,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,slogp_1s,slogp_2s,slogp_5s,pct_slo_1s,pct_slo_2s,pct_slo_5s,backlog_start,backlog_end,max_inflight,jain,stable
slo_bm_n2_l1.0_r2,open,2,1,1.00,30,128,15,15,0,0,64.0,0.50,0.50,0.11,24,1925,1925,7.0,15.6,15.7,60,64,64,93,100,100,0,1,3,0.962,STABLE
slo_bm_n2_l0.5_r2,open,2,1,0.50,30,128,9,9,0,0,38.4,0.30,0.27,0.00,23,38,38,7.0,15.5,15.7,38,38,38,100,100,100,0,1,2,0.900,STABLE
slo_bm_n2_l2.0_r2,open,2,1,2.00,30,128,48,45,0,0,204.8,1.60,1.75,4.67,4228,13791,14107,15.4,15.7,16.2,51,81,115,25,40,56,3,17,17,0.993,UNSTABLE
slo_bm_n2_l0.25_r2,open,2,1,0.25,30,128,6,6,0,0,25.6,0.20,0.19,0.00,24,32,32,7.0,15.6,15.7,26,26,26,100,100,100,0,1,2,1.000,STABLE
slo_ucx_n2_l0.75_r2,open,2,1,0.75,30,128,13,13,0,0,55.5,0.43,0.45,0.05,31,1065,1065,7.2,12.8,12.9,51,55,55,92,100,100,0,1,3,0.994,STABLE
slo_ucx_n2_l1.5_r2,open,2,1,1.50,30,128,33,32,0,0,140.8,1.10,1.16,1.05,433,3979,4403,7.2,12.8,13.1,85,98,141,61,70,100,0,4,5,0.900,STABLE
slo_ucx_n2_l1.0_r2,open,2,1,1.00,30,128,15,15,0,0,64.0,0.50,0.53,0.09,31,1920,1920,7.2,12.8,12.9,60,64,64,93,100,100,0,1,3,0.962,STABLE
slo_ucx_n2_l0.5_r2,open,2,1,0.50,30,128,9,9,0,0,38.4,0.30,0.27,0.00,31,186,186,7.2,11.5,12.8,38,38,38,100,100,100,0,1,2,0.900,STABLE
slo_ucx_n2_l2.0_r2,open,2,1,2.00,30,128,48,45,0,0,204.8,1.60,1.59,3.65,3366,10345,10739,7.3,12.9,13.8,51,90,128,25,44,62,3,13,14,0.993,STABLE
slo_ucx_n2_l0.25_r2,open,2,1,0.25,30,128,6,6,0,0,25.6,0.20,0.19,0.00,31,193,193,7.2,12.8,13.0,26,26,26,100,100,100,0,1,2,1.000,STABLE
