routine,payload_bytes,rt_us,server_us
cudaRegisterFunction,229,64,0
cudaRegisterFunction,353,58,0
cudaRegisterFunction,225,59,0
cudaRegisterFunction,349,61,0
cudaRegisterFunction,201,68,0
cudaRegisterFunction,241,63,0
cudaRegisterFunction,365,68,0
cudaRegisterFunction,217,68,0
cudaRegisterFunction,213,62,0
cudaRegisterFunction,337,60,0
cudaRegisterFunction,347,66,0
cudaRegisterFunction,439,58,0
cudaRegisterFunction,343,55,0
cudaRegisterFunction,439,64,0
cudaRegisterFunction,343,68,0
cudaRegisterFunction,439,60,0
cudaRegisterFunction,343,57,0
cudaRegisterFunction,439,62,0
cudaRegisterFunction,343,61,0
cudaRegisterFunction,343,66,0
cudaRegisterFunction,343,69,0
cudaRegisterVar,129,66,0
cudaRegisterVar,122,64,0
cudaRegisterVar,114,60,0
cudaRegisterVar,2168,52,0
cudaRegisterVar,6262,60,0
cudaRegisterVar,14452,69,0
cudaRegisterVar,15480,68,0
cudaRegisterVar,17524,111,0
cudaRegisterVar,17548,70,0
cudaRegisterVar,120,59,0
cudaRegisterVar,124,52,0
cudaRegisterFatBinaryEnd,478079,267,0
cudaRegisterFatBinary,109263,243,0
cudaRegisterFunction,217,62,0
cudaRegisterFunction,217,54,0
cudaRegisterFunction,203,56,0
cudaRegisterFunction,203,60,0
cudaRegisterVar,305,53,0
cudaRegisterVar,122,58,0
cudaRegisterVar,114,54,0
cudaRegisterVar,2168,55,0
cudaRegisterVar,6262,55,0
cudaRegisterVar,14452,59,0
cudaRegisterVar,15480,62,0
cudaRegisterVar,17524,61,0
cudaRegisterVar,17548,58,0
cudaRegisterVar,120,52,0
cudaRegisterVar,124,56,0
cudaRegisterFatBinaryEnd,109263,169,0
cudaRegisterFatBinary,116127,253,0
cudaRegisterFunction,471,59,0
cudaRegisterFunction,281,56,0
cudaRegisterFunction,207,55,0
cudaRegisterFunction,199,57,0
cudaRegisterFunction,215,54,0
cudaRegisterVar,128,55,0
cudaRegisterVar,122,51,0
cudaRegisterVar,114,56,0
cudaRegisterVar,2168,53,0
cudaRegisterVar,6262,56,0
cudaRegisterVar,14452,60,0
cudaRegisterVar,15480,61,0
cudaRegisterVar,17524,62,0
cudaRegisterVar,17548,60,0
cudaRegisterVar,120,51,0
cudaRegisterVar,124,53,0
cudaRegisterVar,238,53,0
cudaRegisterVar,234,55,0
cudaRegisterVar,240,55,0
cudaRegisterVar,236,55,0
cudaRegisterVar,240,57,0
cudaRegisterVar,236,51,0
cudaRegisterVar,242,53,0
cudaRegisterVar,238,53,0
cudaRegisterVar,314,55,0
cudaRegisterVar,232,51,0
cudaRegisterVar,258,52,0
cudaRegisterVar,230,51,0
cudaRegisterVar,250,51,0
cudaRegisterVar,260,53,0
cudaRegisterVar,256,51,0
cudaRegisterVar,252,52,0
cudaRegisterVar,248,51,0
cudaRegisterVar,254,52,0
cudaRegisterVar,250,51,0
cudaRegisterVar,260,56,0
cudaRegisterVar,250,55,0
cudaRegisterVar,250,52,0
cudaRegisterVar,250,60,0
cudaRegisterVar,252,58,0
cudaRegisterVar,250,53,0
cudaRegisterVar,252,50,0
cudaRegisterVar,258,52,0
cudaRegisterVar,306,51,0
cudaRegisterVar,280,50,0
cudaRegisterVar,280,53,0
cudaRegisterVar,280,51,0
cudaRegisterVar,280,52,0
cudaRegisterVar,280,51,0
cudaRegisterVar,280,53,0
cudaRegisterVar,280,52,0
cudaRegisterVar,280,56,0
cudaRegisterVar,280,53,0
cudaRegisterVar,282,51,0
cudaRegisterFatBinaryEnd,116127,194,0
cudaRegisterFatBinary,75591,201,0
cudaRegisterFunction,193,58,0
cudaRegisterFunction,181,53,0
cudaRegisterVar,180,53,0
cudaRegisterVar,122,51,0
cudaRegisterVar,114,50,0
cudaRegisterVar,2168,55,0
cudaRegisterVar,6262,54,0
cudaRegisterVar,14452,57,0
cudaRegisterVar,15480,61,0
cudaRegisterVar,17524,64,0
cudaRegisterVar,17548,61,0
cudaRegisterVar,120,50,0
cudaRegisterVar,124,50,0
cudaRegisterFatBinaryEnd,75591,133,0
cudaRegisterFatBinary,60919,139,0
cudaRegisterFunction,175,55,0
cudaRegisterVar,179,52,0
cudaRegisterVar,122,51,0
cudaRegisterVar,114,59,0
cudaRegisterVar,2168,55,0
cudaRegisterVar,6262,54,0
cudaRegisterVar,14452,58,0
cudaRegisterVar,15480,61,0
cudaRegisterVar,17524,62,0
cudaRegisterVar,17548,58,0
cudaRegisterVar,120,55,0
cudaRegisterVar,124,57,0
cudaRegisterFatBinaryEnd,60919,82,0
cudaRegisterFatBinary,91143,225,0
cudaRegisterFunction,217,59,0
cudaRegisterFunction,191,56,0
cudaRegisterFunction,199,55,0
cudaRegisterVar,148,54,0
cudaRegisterVar,122,51,0
cudaRegisterVar,114,54,0
cudaRegisterVar,2168,53,0
cudaRegisterVar,6262,57,0
cudaRegisterVar,14452,59,0
cudaRegisterVar,15480,59,0
cudaRegisterVar,17524,62,0
cudaRegisterVar,17548,61,0
cudaRegisterVar,120,52,0
cudaRegisterVar,124,56,0
cudaRegisterFatBinaryEnd,91143,166,0
cudaRegisterFatBinary,57767,134,0
cudaRegisterVar,140,62,0
cudaRegisterVar,122,54,0
cudaRegisterVar,114,52,0
cudaRegisterVar,2168,54,0
cudaRegisterVar,6262,54,0
cudaRegisterVar,14452,59,0
cudaRegisterVar,15480,59,0
cudaRegisterVar,17524,60,0
cudaRegisterVar,17548,60,0
cudaRegisterVar,120,51,0
cudaRegisterVar,124,53,0
cudaRegisterFatBinaryEnd,57767,81,0
cudaRegisterFatBinary,602455,1270,0
cudaRegisterFunction,287,66,0
cudaRegisterFunction,285,55,0
cudaRegisterFunction,353,55,0
cudaRegisterFunction,353,53,0
cudaRegisterFunction,353,54,0
cudaRegisterFunction,353,53,0
cudaRegisterFunction,353,55,0
cudaRegisterFunction,353,56,0
cudaRegisterFunction,351,56,0
cudaRegisterFunction,351,57,0
cudaRegisterFunction,351,54,0
cudaRegisterFunction,351,53,0
cudaRegisterFunction,351,55,0
cudaRegisterFunction,351,53,0
cudaRegisterFunction,353,57,0
cudaRegisterFunction,353,53,0
cudaRegisterFunction,353,55,0
cudaRegisterFunction,353,53,0
cudaRegisterFunction,353,56,0
cudaRegisterFunction,353,53,0
cudaRegisterFunction,351,55,0
cudaRegisterFunction,351,58,0
cudaRegisterFunction,351,56,0
cudaRegisterFunction,351,55,0
cudaRegisterFunction,351,55,0
cudaRegisterFunction,351,56,0
cudaRegisterFunction,285,53,0
cudaRegisterFunction,283,53,0
cudaRegisterFunction,353,55,0
cudaRegisterFunction,353,53,0
cudaRegisterFunction,285,53,0
cudaRegisterFunction,283,55,0
cudaRegisterFunction,353,54,0
cudaRegisterFunction,353,58,0
cudaRegisterFunction,283,54,0
cudaRegisterFunction,281,56,0
cudaRegisterFunction,349,54,0
cudaRegisterFunction,349,56,0
cudaRegisterFunction,283,52,0
cudaRegisterFunction,281,54,0
cudaRegisterFunction,219,52,0
cudaRegisterFunction,349,56,0
cudaRegisterFunction,349,54,0
cudaRegisterFunction,287,53,0
cudaRegisterFunction,285,53,0
cudaRegisterFunction,341,85,0
cudaRegisterFunction,341,55,0
cudaRegisterFunction,287,52,0
cudaRegisterFunction,285,54,0
cudaRegisterFunction,341,56,0
cudaRegisterFunction,341,56,0
cudaRegisterFunction,285,54,0
cudaRegisterFunction,283,53,0
cudaRegisterFunction,339,55,0
cudaRegisterFunction,339,54,0
cudaRegisterFunction,285,64,0
cudaRegisterFunction,283,55,0
cudaRegisterFunction,339,61,0
cudaRegisterFunction,339,56,0
cudaRegisterFunction,285,56,0
cudaRegisterFunction,283,53,0
cudaRegisterFunction,221,53,0
cudaRegisterFunction,339,57,0
cudaRegisterFunction,339,56,0
cudaRegisterFunction,225,54,0
cudaRegisterFunction,287,55,0
cudaRegisterFunction,285,57,0
cudaRegisterFunction,341,54,0
